,sentence,joy,trust,fear,surprise,sadness,disgust,anger,anticipation
50,He was the best barista in the whole town.,1,0,0,0,0,0,0,0
51,He was the best barista in the whole town.,1,0,0,0,0,0,0,0
52,People would line up and wait hours for his creations.,1,1,1,1,1,1,1,1
53,People would line up and wait hours for his creations.,1,1,1,1,1,1,1,1
54,People would line up and wait hours for his creations.,1,1,0,1,0,0,0,1
55,People would line up and wait hours for his creations.,1,1,0,1,0,0,0,1
56,People would line up and wait hours for his creations.,1,1,0,0,0,0,0,1
57,People would line up and wait hours for his creations.,1,1,0,1,0,0,0,0
58,Everyone wanted the Ferdinand touch.,1,1,0,1,0,0,0,1
59,Everyone wanted the Ferdinand touch.,1,1,0,0,0,0,0,0
60,Everyone wanted the Ferdinand touch.,0,1,0,0,0,0,0,1
61,Everyone wanted the Ferdinand touch.,1,1,0,0,0,0,0,1
62,Everyone wanted the Ferdinand touch.,1,0,0,0,0,0,0,0
63,"He was proud, but hard working always pushing himself.",1,1,0,0,0,0,0,1
64,"He was proud, but hard working always pushing himself.",1,1,0,0,0,0,0,1
65,"He was proud, but hard working always pushing himself.",1,0,0,0,0,0,0,0
66,Danielle was really short on money.,0,0,1,0,0,1,0,1
67,Danielle was really short on money.,0,0,1,1,1,1,0,1
68,Danielle was really short on money.,1,1,0,1,0,0,0,1
69,She was trying to come up with extra money.,0,0,1,0,0,0,0,1
70,She was trying to come up with extra money.,0,1,1,0,1,0,1,0
71,She was trying to come up with extra money.,0,0,1,0,0,0,0,0
72,Someone suggested a garage sale.,1,0,0,0,0,0,0,0
73,Someone suggested a garage sale.,1,0,0,0,0,0,0,1
74,Someone suggested a garage sale.,1,1,1,1,1,1,0,1
75,She decided that was a great idea.,1,1,0,0,0,0,0,1
76,She decided that was a great idea.,1,1,0,1,0,0,0,1
77,She made lots of money!,1,1,1,1,1,1,1,1
78,She made lots of money!,1,1,0,1,0,0,0,1
79,She made lots of money!,1,1,0,1,0,0,0,1
80,Manuel was having a difficult time paying his rent.,0,0,1,0,1,1,1,0
81,Manuel was having a difficult time paying his rent.,0,0,1,0,0,0,0,1
82,Manuel was having a difficult time paying his rent.,0,0,1,0,1,1,1,1
83,He knew that he would be evicted if he didn't figure something out.,0,0,0,0,1,0,0,0
84,He knew that he would be evicted if he didn't figure something out.,0,0,1,0,1,1,0,1
85,He knew that he would be evicted if he didn't figure something out.,0,0,1,1,1,0,1,1
86,He then remembered that his friend was looking for a house.,1,0,0,1,0,0,0,1
87,He then remembered that his friend was looking for a house.,1,0,0,0,0,0,0,1
88,He then remembered that his friend was looking for a house.,1,1,1,1,1,0,0,1
89,Manuel asked him to move in and be his roommate.,0,1,1,0,1,0,0,1
90,Manuel asked him to move in and be his roommate.,1,1,0,0,0,0,0,1
91,Manuel asked him to move in and be his roommate.,1,0,0,0,0,0,0,0
92,Manuel asked him to move in and be his roommate.,1,1,1,1,1,1,1,1
93,Manuel asked him to move in and be his roommate.,1,1,0,1,0,0,0,1
94,His friend agreed and Manuel kept his house.,1,0,0,0,0,0,0,0
95,His friend agreed and Manuel kept his house.,1,1,0,0,0,0,0,1
96,Kija has been researching methods of healthy eating.,1,0,0,0,0,0,0,1
97,Kija has been researching methods of healthy eating.,0,0,0,0,0,0,0,1
98,Kija has been researching methods of healthy eating.,1,1,0,0,0,0,0,1
99,She finally settles on a meal replacement drink to start.,0,0,0,0,0,0,1,1
100,She finally settles on a meal replacement drink to start.,1,0,0,0,0,0,0,1
101,She finally settles on a meal replacement drink to start.,1,0,0,0,0,0,0,1
102,She orders a crate of soylent and is excited when it arrives.,1,1,0,1,0,0,0,0
103,She orders a crate of soylent and is excited when it arrives.,1,0,0,0,0,0,0,0
104,She orders a crate of soylent and is excited when it arrives.,1,0,0,0,0,0,0,1
105,"Unfortunately, one swig of the drink makes her mouth itch and swell.",0,0,1,1,1,1,1,1
106,"Unfortunately, one swig of the drink makes her mouth itch and swell.",0,0,1,1,1,1,1,0
107,"Unfortunately, one swig of the drink makes her mouth itch and swell.",1,1,1,1,1,1,1,1
108,"Kija didn't know, but she's allergic to soy.",0,0,1,1,1,0,0,0
109,"Kija didn't know, but she's allergic to soy.",1,1,0,1,0,0,0,1
110,"Kija didn't know, but she's allergic to soy.",0,0,1,1,1,1,1,0
111,Billy noticed he had trouble reading the chalkboard in class.,0,0,1,0,1,0,0,0
112,Billy noticed he had trouble reading the chalkboard in class.,1,1,1,1,1,1,1,1
113,Billy noticed he had trouble reading the chalkboard in class.,0,0,1,1,0,0,0,1
114,He moved towards the front and he could read it perfectly.,1,0,0,1,0,0,0,0
115,He moved towards the front and he could read it perfectly.,1,0,0,0,0,0,0,1
116,He then visited an eye doctor to ask about this.,0,0,1,1,0,0,0,1
117,He then visited an eye doctor to ask about this.,0,1,0,0,0,0,0,1
118,He then visited an eye doctor to ask about this.,0,1,1,0,1,0,0,1
119,The doctor diagnosed him with myopia or nearsightedness.,0,0,1,1,0,0,0,0
120,The doctor diagnosed him with myopia or nearsightedness.,1,0,0,1,0,0,0,0
121,The doctor diagnosed him with myopia or nearsightedness.,0,0,0,1,0,0,0,1
122,John bought glasses and could see perfectly from then on.,1,1,0,0,0,0,0,0
123,John bought glasses and could see perfectly from then on.,1,1,0,1,0,0,0,0
124,John bought glasses and could see perfectly from then on.,1,1,0,1,0,0,0,1
125,Tom would gather them up and take them to recycle.,1,0,0,0,0,0,0,0
126,Tom would gather them up and take them to recycle.,1,1,0,0,0,0,0,0
127,Tom would gather them up and take them to recycle.,1,1,0,1,0,0,0,1
128,He made a good amount of extra money that way.,1,0,0,0,0,0,0,0
129,He made a good amount of extra money that way.,1,0,0,0,0,0,0,0
130,He made a good amount of extra money that way.,1,0,0,0,0,0,0,0
131,Yoshio was 31 years old and played modern video games.,1,1,0,0,1,0,0,0
132,Yoshio was 31 years old and played modern video games.,1,0,0,0,0,0,0,0
133,Yoshio was 31 years old and played modern video games.,1,0,0,0,0,0,0,0
134,One day he had a hankering to play the old classic Nintendo.,1,1,0,0,1,0,0,1
135,One day he had a hankering to play the old classic Nintendo.,1,0,0,0,0,0,0,1
136,One day he had a hankering to play the old classic Nintendo.,1,0,0,0,0,0,0,1
137,"He figured it was so old, it'd be sold online for very little money.",1,0,0,0,0,0,0,1
138,"He figured it was so old, it'd be sold online for very little money.",1,1,0,1,0,0,0,1
139,"He figured it was so old, it'd be sold online for very little money.",1,1,0,0,0,0,0,1
140,But Yoshio was very wrong-the console was insanely expensive!,1,1,1,1,1,1,1,1
141,But Yoshio was very wrong-the console was insanely expensive!,1,1,1,1,1,1,1,1
142,But Yoshio was very wrong-the console was insanely expensive!,1,1,0,1,0,0,0,1
143,It was now a collector's item instead of just a toy.,0,0,0,1,1,0,0,0
144,It was now a collector's item instead of just a toy.,1,1,1,1,0,1,0,1
145,It was now a collector's item instead of just a toy.,1,0,0,1,0,0,0,1
146,Gina returned to her desk from the bathroom.,0,0,0,0,0,0,0,0
147,Gina returned to her desk from the bathroom.,1,1,1,1,1,1,1,1
148,"She saw her friends Mary, and Rita talking to each other.",0,0,0,0,0,0,0,1
149,"She saw her friends Mary, and Rita talking to each other.",1,0,0,0,0,0,0,0
150,"She saw her friends Mary, and Rita talking to each other.",0,0,0,1,1,0,0,0
151,Gina knew they had been talking about her.,0,0,1,1,1,1,1,0
152,Gina knew they had been talking about her.,0,0,1,1,1,1,1,1
153,Gina knew they had been talking about her.,1,1,1,1,1,1,1,1
154,And she knew Rita had told Mary what she promised to keep secret.,0,0,1,1,1,1,1,1
155,And she knew Rita had told Mary what she promised to keep secret.,1,1,1,1,1,1,1,1
156,And she knew Rita had told Mary what she promised to keep secret.,0,0,1,1,1,0,1,0
157,And she knew Rita had told Mary what she promised to keep secret.,1,1,1,1,1,1,1,1
158,And she knew Rita had told Mary what she promised to keep secret.,0,1,0,0,0,0,0,0
159,And she knew Rita had told Mary what she promised to keep secret.,0,0,1,0,0,1,1,0
160,And she knew Rita had told Mary what she promised to keep secret.,0,0,0,0,1,0,0,0
161,And she knew Rita had told Mary what she promised to keep secret.,0,0,1,1,1,1,1,1
162,And she knew Rita had told Mary what she promised to keep secret.,1,1,1,1,1,1,1,1
163,My parents got new jobs.,1,0,0,0,0,0,0,0
164,My parents got new jobs.,1,0,0,0,0,0,0,0
165,My parents got new jobs.,1,1,1,1,1,1,1,1
166,We packed our stuff in boxes.,1,0,1,1,1,1,1,1
167,We packed our stuff in boxes.,1,0,0,0,0,0,0,0
168,We packed our stuff in boxes.,1,1,0,1,0,0,0,1
169,We packed our stuff in boxes.,1,1,1,0,1,0,0,1
170,We packed our stuff in boxes.,0,0,0,0,1,0,0,0
171,We packed our stuff in boxes.,1,1,0,0,0,0,0,1
172,We moved to Alabama.,0,1,1,1,1,0,0,1
173,We moved to Alabama.,0,0,0,1,1,0,1,1
174,We moved to Alabama.,0,0,1,0,1,0,0,1
175,We moved to Alabama.,0,0,1,1,0,0,0,1
176,We moved to Alabama.,0,0,0,0,1,1,0,0
177,We moved to Alabama.,1,1,0,0,0,0,0,1
178,He jumped around for the kids to entice them.,1,0,0,1,0,0,0,1
179,He jumped around for the kids to entice them.,1,0,0,0,0,0,0,0
180,He jumped around for the kids to entice them.,1,1,0,1,0,0,0,1
181,He jumped around for the kids to entice them.,1,1,1,1,1,1,1,1
182,One child saw this action and was drawn into the monkey.,1,1,0,1,0,0,0,1
183,One child saw this action and was drawn into the monkey.,0,0,0,0,0,1,1,1
184,One child saw this action and was drawn into the monkey.,1,1,0,0,0,0,0,0
185,One child saw this action and was drawn into the monkey.,1,1,0,1,0,0,0,1
186,One child saw this action and was drawn into the monkey.,1,0,0,0,0,0,0,0
187,One child saw this action and was drawn into the monkey.,1,0,1,1,0,0,0,1
188,The kid felt like he should reward the monkey for the entertainment.,1,0,0,1,0,0,0,1
189,The kid felt like he should reward the monkey for the entertainment.,1,1,0,0,0,0,0,1
190,The kid felt like he should reward the monkey for the entertainment.,1,1,0,0,0,0,0,1
191,The kid threw some of his food over the fence to feed the monkey.,1,0,0,0,0,0,0,0
192,The kid threw some of his food over the fence to feed the monkey.,1,0,0,0,0,0,0,0
193,The kid threw some of his food over the fence to feed the monkey.,1,1,0,1,0,0,0,1
194,The kid threw some of his food over the fence to feed the monkey.,1,1,0,0,0,0,0,1
195,The kid threw some of his food over the fence to feed the monkey.,1,0,0,0,0,0,0,1
196,The kid threw some of his food over the fence to feed the monkey.,1,1,0,1,0,0,0,1
197,He called the Dog Whisperer Cesar Millan to sort out their problems.,1,1,0,0,0,0,0,1
198,He called the Dog Whisperer Cesar Millan to sort out their problems.,1,0,0,0,0,0,0,0
199,He called the Dog Whisperer Cesar Millan to sort out their problems.,0,1,0,0,0,0,0,1
200,Caesar said Vincent was the problem.,1,1,0,0,0,0,0,1
201,Caesar said Vincent was the problem.,1,1,0,1,0,0,0,1
202,Caesar said Vincent was the problem.,0,1,0,0,0,1,1,0
203,Caesar said Vincent was the problem.,0,0,1,1,1,0,0,0
204,Caesar said Vincent was the problem.,0,0,1,1,1,1,1,0
205,Caesar said Vincent was the problem.,0,0,0,0,1,0,0,0
206,He had Vincent assert his dominance.,0,0,0,1,0,1,1,0
207,He had Vincent assert his dominance.,0,1,1,1,1,1,0,1
208,He had Vincent assert his dominance.,1,1,0,0,0,0,0,1
209,Vincent asserted his dominance right into Caesar's butt.,1,0,0,0,0,0,0,0
210,Vincent asserted his dominance right into Caesar's butt.,1,1,0,1,0,0,0,1
211,Vincent asserted his dominance right into Caesar's butt.,1,0,1,0,0,1,1,0
212,Vincent asserted his dominance right into Caesar's butt.,1,0,0,0,0,0,1,1
213,Vincent asserted his dominance right into Caesar's butt.,0,1,0,0,0,0,0,1
214,A boy pick up a rock at the beach.,1,0,0,0,0,0,0,0
215,A boy pick up a rock at the beach.,1,0,0,0,0,0,0,1
216,A boy pick up a rock at the beach.,1,1,0,1,0,0,0,1
217,He felt the texture and inspected it for smoothness.,0,0,0,0,0,0,0,1
218,He felt the texture and inspected it for smoothness.,0,0,0,0,0,0,0,1
219,He felt the texture and inspected it for smoothness.,0,1,0,1,0,0,0,0
220,He approved of the rock for a skipping stone.,1,0,0,0,0,0,0,1
221,He approved of the rock for a skipping stone.,1,1,0,1,0,0,0,1
222,He approved of the rock for a skipping stone.,1,1,0,0,0,0,0,1
223,The boy brought his arm back and waited for calm water.,0,0,1,0,0,0,0,1
224,The boy brought his arm back and waited for calm water.,1,1,0,0,0,0,0,1
225,The boy brought his arm back and waited for calm water.,1,0,0,0,0,0,0,1
226,During a lull he threw the stone and it skipped 11 times on the water.,1,0,0,1,0,0,0,0
227,During a lull he threw the stone and it skipped 11 times on the water.,1,0,0,1,0,0,0,1
228,During a lull he threw the stone and it skipped 11 times on the water.,1,0,0,0,0,0,0,0
229,The girl giggled as it popped open against the fridge.,1,1,0,1,0,0,0,0
230,The girl giggled as it popped open against the fridge.,1,0,0,1,0,0,0,0
231,The girl giggled as it popped open against the fridge.,1,0,0,0,0,0,0,0
232,She touched the magnet gently against the metal.,1,0,0,1,0,0,0,1
233,She touched the magnet gently against the metal.,1,0,0,1,0,0,0,0
234,She touched the magnet gently against the metal.,1,1,1,1,1,1,1,1
235,"She did it over and over again, laughing.",1,0,0,1,0,0,0,1
236,"She did it over and over again, laughing.",1,0,0,1,0,0,0,0
237,"She did it over and over again, laughing.",1,0,0,1,0,0,0,0
238,My foot has been itching badly since I got that mosquito bite.,0,0,0,1,1,1,1,0
239,My foot has been itching badly since I got that mosquito bite.,0,0,1,1,1,1,1,0
240,My foot has been itching badly since I got that mosquito bite.,0,0,0,1,1,1,1,0
241,I have been scratching the bite all day long since I got it.,0,0,0,0,0,1,1,0
242,I have been scratching the bite all day long since I got it.,0,0,0,0,0,0,0,1
243,I have been scratching the bite all day long since I got it.,0,0,0,0,1,1,1,0
244,The mosquito bit me on the bottom of my foot.,0,0,0,0,0,1,1,0
245,The mosquito bit me on the bottom of my foot.,0,0,0,0,0,1,1,0
246,The mosquito bit me on the bottom of my foot.,1,1,0,1,0,0,0,1
247,The ointment I put on it didn't really help much.,0,0,0,0,0,1,1,0
248,The ointment I put on it didn't really help much.,1,1,0,1,0,0,0,1
249,"Tomorrow, I'll try putting a hot towel on it to decrease the swelling.",0,0,0,0,1,0,0,1
250,"Tomorrow, I'll try putting a hot towel on it to decrease the swelling.",0,0,0,0,1,1,1,0
251,"Tomorrow, I'll try putting a hot towel on it to decrease the swelling.",1,1,1,1,1,1,1,1
252,Margaret couldn't afford her regular eye makeup anymore.,0,0,1,0,1,0,0,0
253,Margaret couldn't afford her regular eye makeup anymore.,1,1,1,1,1,1,1,1
254,Margaret couldn't afford her regular eye makeup anymore.,0,0,0,1,1,1,1,0
255,So she went to the store for free samples.,0,1,1,1,1,1,1,1
256,So she went to the store for free samples.,0,0,0,0,1,1,0,0
257,So she went to the store for free samples.,0,0,0,0,0,1,0,0
258,She used the samples until they ran out.,0,0,0,0,1,1,0,0
259,She used the samples until they ran out.,1,0,0,0,0,0,0,1
260,She used the samples until they ran out.,0,0,0,0,1,1,0,0
261,Turns out she liked one of them.,1,1,0,0,0,0,0,1
262,Turns out she liked one of them.,1,1,0,1,0,0,0,1
263,Turns out she liked one of them.,1,0,0,0,0,0,0,1
264,And it was cheaper than what she usually wore!,1,1,0,0,0,0,0,1
265,And it was cheaper than what she usually wore!,1,1,1,1,1,1,1,1
266,And it was cheaper than what she usually wore!,1,0,0,1,0,0,0,1
267,I was very excited to go downtown to do some shopping.,1,0,0,0,0,0,0,1
268,I was very excited to go downtown to do some shopping.,1,0,0,0,0,0,0,1
269,I was very excited to go downtown to do some shopping.,1,0,0,0,0,0,0,1
270,I looked out the window and saw it was raining very heavily.,0,0,0,1,1,0,1,0
271,I looked out the window and saw it was raining very heavily.,0,0,0,1,1,0,1,0
272,I looked out the window and saw it was raining very heavily.,0,0,0,1,1,0,0,0
273,I became very sad.,0,0,0,0,1,0,0,0
274,I became very sad.,0,0,0,0,1,0,0,0
275,I became very sad.,0,0,1,0,1,1,1,0
276,So I stayed home by myself all day instead.,0,0,1,0,1,0,0,0
277,So I stayed home by myself all day instead.,0,0,0,0,1,0,1,0
278,So I stayed home by myself all day instead.,0,0,0,0,1,0,0,0
279,The Sharks goalie was hurt and couldn't play.,0,0,1,0,1,1,0,0
280,The Sharks goalie was hurt and couldn't play.,1,1,0,1,1,1,1,1
281,The Sharks goalie was hurt and couldn't play.,1,1,0,1,0,0,0,1
282,The Sharks goalie was hurt and couldn't play.,0,0,1,0,1,0,1,0
283,The Sharks goalie was hurt and couldn't play.,0,0,1,1,1,0,1,0
284,James was asked to fill in.,1,0,0,0,0,0,0,1
285,James was asked to fill in.,1,1,1,1,0,0,0,1
286,James was asked to fill in.,1,1,1,1,1,1,1,1
287,James was asked to fill in.,0,0,0,0,1,1,1,0
288,James was asked to fill in.,0,0,1,0,1,1,1,0
289,Everyone cheered him on.,1,1,1,1,0,0,0,1
290,Everyone cheered him on.,1,1,0,1,0,0,0,1
291,Everyone cheered him on.,1,0,0,0,0,0,0,1
292,Everyone cheered him on.,1,1,0,0,0,0,0,1
293,Everyone cheered him on.,1,1,1,1,0,0,0,1
294,Everyone cheered him on.,1,1,0,0,0,0,0,1
295,James blocked every shot and skyrocketed to superstar status.,1,0,0,1,0,0,0,0
296,James blocked every shot and skyrocketed to superstar status.,1,0,0,0,0,0,0,0
297,This Sunday I decided to try a new place.,1,1,0,1,0,0,0,1
298,This Sunday I decided to try a new place.,1,1,0,0,0,0,0,1
299,This Sunday I decided to try a new place.,1,0,0,0,0,0,0,1
300,I ate a whole pizza to myself.,1,0,0,0,0,0,0,0
301,I ate a whole pizza to myself.,1,1,0,0,0,0,0,1
302,I ate a whole pizza to myself.,1,1,0,1,0,0,0,1
303,I felt very full but satisfied.,1,0,0,0,0,0,0,0
304,I felt very full but satisfied.,1,0,0,0,0,0,0,0
305,I felt very full but satisfied.,1,1,1,1,1,1,1,1
306,I immediately fell asleep when I got home.,1,0,0,0,0,0,0,0
307,I immediately fell asleep when I got home.,1,1,0,1,0,0,0,1
308,I immediately fell asleep when I got home.,1,1,0,1,0,0,0,1
309,He needed a good pair of jeans at the Mall.,1,0,0,1,0,0,0,1
310,He needed a good pair of jeans at the Mall.,1,0,0,0,0,0,0,1
311,He needed a good pair of jeans at the Mall.,1,1,0,1,0,0,0,1
312,After buying his jeans he walks by an animal shop and sees a dog.,1,1,1,1,0,0,0,1
313,After buying his jeans he walks by an animal shop and sees a dog.,1,1,0,0,0,0,0,1
314,After buying his jeans he walks by an animal shop and sees a dog.,1,1,0,1,1,0,0,1
315,Shawn falls in love with the dog at the store.,1,1,0,1,0,0,0,1
316,Shawn falls in love with the dog at the store.,1,1,0,0,0,0,0,0
317,Shawn falls in love with the dog at the store.,1,1,0,1,0,0,0,1
318,Shawn buys the dog and the two become best friends.,1,1,0,0,0,0,0,1
319,Shawn buys the dog and the two become best friends.,1,0,0,0,0,0,0,0
320,Shawn buys the dog and the two become best friends.,1,1,0,0,0,0,0,1
321,Shawn buys the dog and the two become best friends.,1,0,0,0,0,0,0,0
322,Shawn buys the dog and the two become best friends.,1,1,0,1,0,0,0,1
323,Shawn buys the dog and the two become best friends.,1,1,0,1,0,0,0,1
324,A man was on a flight back home to his wife.,0,0,0,0,0,0,0,1
325,A man was on a flight back home to his wife.,1,0,0,0,0,0,0,1
326,A man was on a flight back home to his wife.,1,1,0,0,0,0,0,1
327,When suddenly the flight was canceled due to bad weather.,1,1,0,1,0,0,0,1
328,When suddenly the flight was canceled due to bad weather.,0,0,1,1,1,0,1,1
329,When suddenly the flight was canceled due to bad weather.,0,0,0,1,1,1,1,1
330,When suddenly the flight was canceled due to bad weather.,0,0,0,1,0,0,0,0
331,When suddenly the flight was canceled due to bad weather.,0,0,0,0,1,1,1,0
332,When suddenly the flight was canceled due to bad weather.,0,0,1,1,1,0,1,1
333,"He was stuck on the tarmac, and his wife called.",0,0,1,0,1,1,1,0
334,"He was stuck on the tarmac, and his wife called.",1,1,1,1,1,1,1,1
335,"He was stuck on the tarmac, and his wife called.",0,0,1,1,1,0,0,0
336,"He was stuck on the tarmac, and his wife called.",0,0,1,0,1,0,1,0
337,"He was stuck on the tarmac, and his wife called.",0,0,1,1,1,0,1,1
338,She was furious that he was late.,0,1,0,0,1,0,0,1
339,She was furious that he was late.,1,1,0,1,0,0,0,1
340,She was furious that he was late.,0,0,0,1,1,1,1,0
341,She was furious that he was late.,0,0,1,1,1,0,0,0
342,She was furious that he was late.,0,0,0,0,1,1,1,0
343,The man had the pilot himself tell her that it couldn't be helped.,0,0,0,1,0,1,0,0
344,The man had the pilot himself tell her that it couldn't be helped.,0,0,0,1,0,1,1,0
345,The man had the pilot himself tell her that it couldn't be helped.,0,1,0,1,1,1,1,1
346,The man had the pilot himself tell her that it couldn't be helped.,0,0,0,1,1,1,1,1
347,The man had the pilot himself tell her that it couldn't be helped.,0,0,1,1,1,1,1,1
348,The man had the pilot himself tell her that it couldn't be helped.,0,0,0,0,0,0,1,0
349,The man had the pilot himself tell her that it couldn't be helped.,0,0,0,0,0,1,1,0
350,The man had the pilot himself tell her that it couldn't be helped.,1,1,0,1,0,0,0,1
351,The man had the pilot himself tell her that it couldn't be helped.,0,0,0,1,1,1,1,0
352,Joe hates to cut his hair.,0,0,0,0,1,1,1,0
353,Joe hates to cut his hair.,1,1,1,1,1,1,1,1
354,Joe hates to cut his hair.,0,0,0,0,0,1,0,0
355,His hair is so long he can't see.,0,0,0,0,1,0,0,0
356,His hair is so long he can't see.,0,0,1,0,1,0,0,1
357,His hair is so long he can't see.,0,0,1,0,1,1,1,0
358,Joe wrecked his bike because he couldn't see.,0,0,1,1,1,1,1,0
359,Joe wrecked his bike because he couldn't see.,1,1,1,1,1,1,1,1
360,Joe wrecked his bike because he couldn't see.,0,0,0,1,1,0,1,0
361,He decided he had to get his hair cut.,0,0,0,0,1,0,0,0
362,He decided he had to get his hair cut.,0,0,1,0,1,0,0,0
363,He decided he had to get his hair cut.,0,0,0,1,0,1,0,1
364,He walked up town to the barber.,0,0,1,0,1,0,1,1
365,He walked up town to the barber.,0,0,1,0,1,0,0,1
366,He walked up town to the barber.,1,1,0,0,0,0,0,0
367,He wasn't paying any attention to where he was going.,1,1,0,0,0,0,0,1
368,He wasn't paying any attention to where he was going.,1,1,0,1,0,0,0,1
369,His head was down and he mindlessly walked into a tree.,0,0,0,1,0,0,1,0
370,His head was down and he mindlessly walked into a tree.,0,0,0,1,0,1,1,0
371,His head was down and he mindlessly walked into a tree.,1,1,0,0,0,0,0,0
372,"His phone fell from his hands landing face down, he hoped it was ok.",0,0,0,0,0,0,0,1
373,"His phone fell from his hands landing face down, he hoped it was ok.",0,0,1,0,0,0,0,0
374,When he picked it up he realized it had shattered into pieces.,0,0,0,0,1,1,1,0
375,When he picked it up he realized it had shattered into pieces.,0,0,0,0,0,0,1,0
376,When he picked it up he realized it had shattered into pieces.,0,0,1,1,1,1,1,0
377,Matt walked on to the bus looked for a seat.,0,1,1,1,1,0,1,1
378,Matt walked on to the bus looked for a seat.,1,1,0,1,0,1,1,1
379,Matt walked on to the bus looked for a seat.,1,1,0,0,0,0,0,1
380,He could not find any open seat so he stood.,0,0,0,1,1,0,1,0
381,He could not find any open seat so he stood.,0,0,0,1,1,0,1,0
382,He could not find any open seat so he stood.,1,1,0,1,0,0,0,1
383,A person offered his seat to Matt if he gave him $20.,0,0,0,0,0,1,1,0
384,A person offered his seat to Matt if he gave him $20.,1,1,0,1,0,0,0,1
385,A person offered his seat to Matt if he gave him $20.,0,0,0,1,0,1,0,0
386,A person offered his seat to Matt if he gave him $20.,0,1,0,1,0,1,1,0
387,A person offered his seat to Matt if he gave him $20.,1,1,1,1,1,1,1,1
388,A person offered his seat to Matt if he gave him $20.,1,1,1,1,1,1,1,1
389,Matt told the person that he was being unfair.,0,0,1,1,1,1,1,1
390,Matt told the person that he was being unfair.,0,0,0,1,0,1,1,0
391,Matt told the person that he was being unfair.,0,0,0,1,1,1,1,0
392,The person shrugged and ignored Matt for the rest of his ride.,0,0,0,0,1,1,1,0
393,The person shrugged and ignored Matt for the rest of his ride.,0,0,1,1,0,1,0,0
