,emotion,plutchik,selection0,selection1,label
18,"['frustrated', 'dirty', 'scared', 'afraid']","{'joy': 0, 'trust': 0, 'fear': 2, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",She tried to wipe the polish off.,It was relentless.,0
19,"['Lonely', 'Happy', 'happy', 'and lively', 'none']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",He is happy to see people.,So they signed the deed and officially became homeowners!,0
20,"['anticipation', 'free', 'confident', 'none']","{'joy': 1, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",I had a fight with my girlfriend.,They went around the neighborhood looking for certain houses.,1
21,"['Recognized', 'Approval', 'proud', 'happy', 'none', 'amazed', 'pleasantly surprised']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",When the other kids wouldn't move over I'd start to sit anyway.,Productivity really shot up because of it.,1
22,"['pressured', 'nervous', 'excited', 'satisfied', 'sociable', 'joyful']","{'joy': 2, 'trust': 1, 'fear': 1, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",Suddenly the branch gave way beneath him.,Once there everyone convinced him to drink.,1
23,"['scared', 'nervous', 'anxious', 'startled']","{'joy': 0, 'trust': 0, 'fear': 2, 'surprise': 3, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 3}",He heard a noise outside.,I had to email a photo to save to my new computer.,0
24,['none'],"{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",Cassie was very happy.,John was at work.,1
25,"['distraught', 'sad', 'dissappointed', 'perplexed', 'disappointed']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 2, 'sadness': 3, 'disgust': 1, 'anger': 1, 'anticipation': 1}",Penelope's family announced that they were having a new baby!,"Unfortunately, she didn't pass.",1
26,"['fearful', 'scared', 'fear', 'afraid', 'anxious', 'petrified', 'frightened']","{'joy': 0, 'trust': 0, 'fear': 3, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",She saw a bear.,"I picked it up and looked at it, in shock.",0
27,"['exhausted', 'adventurous', 'amazed', 'surprised']","{'joy': 1, 'trust': 0, 'fear': 1, 'surprise': 2, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",Jake went up one hundred stories to the top.,She loved the way it looked around her neck.,0
28,"['none', 'ashamed', 'frustration', 'Frustrated']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 1, 'sadness': 2, 'disgust': 0, 'anger': 1, 'anticipation': 1}",Trudy never learned how to do math very well.,Tom was at the drive through.,0
29,"['cautious', 'fresh']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",They told him it was the oldest one they'd ever seen.,I was minding my own business and taking a shower.,1
30,['none'],"{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",Sally was painting her nails pink.,The pipe in the kitchen would leak every time he washed the dishes.,0
31,['none'],"{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",Sean had ordered a pizza.,Her breakfast was perfect after all!,0
32,"['surplus grown', 'none']","{'joy': 1, 'trust': 1, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",The farmer looked at his apple tree and counted the apples.,Joan was getting ready for school.,0
33,"['surprise', 'joyful', 'relieved', 'excited', 'elated']","{'joy': 3, 'trust': 1, 'fear': 0, 'surprise': 3, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",Their turn finally came.,"Cay was so happy, she burst into tears!",1
34,"['happy', 'fortunate', 'none']","{'joy': 1, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",Christa was really excited to go visit them.,Lisa got a new cell phone for her birthday.,1
35,"['surprise', 'relentless', 'none', 'humiliated', 'mad', 'upset', 'frustrated']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 1, 'anger': 1, 'anticipation': 0}",When she gets pushed down hard by another player.,His wife caught it.,0
36,"['happy', 'disappointed', 'bored']","{'joy': 1, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 1, 'disgust': 0, 'anger': 0, 'anticipation': 0}",I only saw one bird and it was a sea gull.,Bill spent a lot of time meeting students.,0
37,"['confused', 'nervous', 'none', 'anxious', 'glad is trying', 'scared Jimmy may turn over the ball']","{'joy': 1, 'trust': 0, 'fear': 1, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",Scott told him to throw the ball to a teammate that's open.,"Of course I didn't know that, so when it happened I was very nervous!",0
38,"['Happy', 'anticipation', 'hopeful', 'intruiged', 'excited', 'curious']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",Taylor said yes to the proposal.,"Many used items, including clothing and food, were up for sale.",1
39,"['Excited', 'excited', 'alive']","{'joy': 2, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",He was running to home.,Karen was excited to go to her very first Lakers game.,0
40,"['none', 'proud', 'competent', 'fun', 'satisfied']","{'joy': 2, 'trust': 2, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",He got started planting his crops.,They brought it back home and stored it.,1
41,"['naughty', 'adventurous', 'amused', 'sad', 'satisfied', 'disappointed', 'embarressed', ""frustrated that they couldn't stay at the prom."", 'worried that he was going to be in trouble.']","{'joy': 1, 'trust': 0, 'fear': 1, 'surprise': 1, 'sadness': 1, 'disgust': 0, 'anger': 0, 'anticipation': 1}",But unfortunately it was too expensive.,Then they all got kicked out.,1
42,"['very much down and sad', 'defeated', 'depressed', 'none']","{'joy': 0, 'trust': 0, 'fear': 2, 'surprise': 0, 'sadness': 2, 'disgust': 1, 'anger': 1, 'anticipation': 1}",Her cousin Ella could knit but wanted to learn to sew.,The final was especially hard and would not help his grade.,1
43,"['angry', 'scared', 'fed up', 'competent', 'anger', 'sad', 'annoyed', 'threatened']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 0, 'sadness': 1, 'disgust': 2, 'anger': 3, 'anticipation': 1}",One day i decided to go and talk to her.,"Charlie, 12, was tired of being bullied by Norman.",1
44,"['surprised', 'angry', 'happy', 'none', 'confused', 'Accomplished', 'Proud', 'not responsible']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",Workmen dug the pool and the couple got a very large pool.,"Chad wanted a unique experience, so he rented a guest house.",0
45,"['satisfied', 'more confident']","{'joy': 2, 'trust': 2, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",Ida was proud of her increased strength and endurance!,Jen sheepishly asked her hosts for a hand towel.,0
46,"['relieved', 'content', 'excited', 'proud']","{'joy': 3, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",His stomach felt bad.,I found one pair that I really liked and bought them.,1
47,"['none', 'confuse', 'hungry', 'disappointed', 'annoyed', 'sad']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 2, 'disgust': 0, 'anger': 1, 'anticipation': 1}","To appease her, he went on modeling calls and hated it.",Grandma had forgotten to pick up the noodles for pasta.,1
48,"['Surpised at the ease to the task', 'Pleased', 'accomplished', 'happy']","{'joy': 2, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",This year I plowed my field and with my new tractor.,One of the beers was coffee flavored.,0
49,"['none', 'good', 'sad', 'responsible', 'Warned', 'Understanding', 'regretful']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 1, 'disgust': 0, 'anger': 0, 'anticipation': 0}",I immediately took a bite out of it.,Jeff now understands the value of keeping a charged phone.,1
50,"['awkward', 'elated', 'excited', 'surprised', 'amused', 'disappointed', 'happy']","{'joy': 1, 'trust': 1, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",The music then changed to a slow song.,Her friends ate it any way so they would not hurt Sarah's feelings.,0
51,"['annoyed', 'frustration', 'none']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 1, 'anger': 1, 'anticipation': 0}",Bob likes movies.,"The first date was terrible, because the guy was very late.",1
52,"['none', 'wanted', 'informed', 'overwhelmed', 'conflicted', 'Well Informed', 'Popular', 'responsible']","{'joy': 1, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",Tami felt she had a number of options and detailed them all.,There were so many different things it was hard to decide.,0
53,"['anxious', 'that not trusting the person whom she is going to marry']","{'joy': 0, 'trust': 0, 'fear': 2, 'surprise': 0, 'sadness': 1, 'disgust': 0, 'anger': 1, 'anticipation': 1}",She finished her garden and loved it.,"It was her wedding day, but she was still worried that was off.",1
54,"['incompetent', 'lost']","{'joy': 0, 'trust': 0, 'fear': 2, 'surprise': 2, 'sadness': 3, 'disgust': 1, 'anger': 1, 'anticipation': 1}",Hugo walked around the campus for thirty minutes and gave up.,She exited the bounce house and retrieved her socks and shoes.,0
55,"['happy', 'pleased', 'energized']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",He brewed a cup of his favorite coffee.,He noticed that one of his friends was crying.,0
56,"['Anticipatory', 'adventurous', 'anticipation', 'none']","{'joy': 1, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",Jake had wanted to climb the tower for a long time.,I noticed a merging sign several feet away on the highway.,0
57,['none'],"{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",She shortly put the sod down on watered soil.,They practiced singing during the week.,1
58,"['surprised', 'happy', 'astonished']","{'joy': 3, 'trust': 1, 'fear': 0, 'surprise': 2, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",The package arrived one day.,"As a child, I always feared the monsters under my bed.",0
59,"['scammed', 'shocked', 'angry', 'incredulous', 'bitter', 'none']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 2, 'sadness': 1, 'disgust': 2, 'anger': 1, 'anticipation': 0}",Matt told the person that he was being unfair.,"They spent all that day riding all the rides, some multiple times.",0
60,"[""She didn't think she spilled too much"", 'lucky', 'relieved']","{'joy': 0, 'trust': 0, 'fear': 2, 'surprise': 2, 'sadness': 1, 'disgust': 1, 'anger': 0, 'anticipation': 0}",She didn't think she spilled too much.,Dwayne became a mailman.,0
61,"['fulfilled', 'proud', 'excited']","{'joy': 2, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",He was finally happy with it and thought that it might even be a hit.,But someone found her online character attractive and gave her gold.,0
62,"['Nervous', 'nervous', 'excited']","{'joy': 1, 'trust': 1, 'fear': 2, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",Sam was new at the office.,He was flustered because everyone at the gym was fit.,0
63,"['famished', 'uncomfortable', 'exhausted']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}","On their wedding day, her grandfather bought her a coffee maker.",Joe was really hungry.,1
64,"['eager', 'excited', 'anticipation']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 3}",His dad explained that they were tide pools with starfish inside.,He designed his own sweater but he wanted to win it for real.,1
65,"['goal oriented', 'crafty', 'accomplished', 'none']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}","Holding the tape, flour and sugar was tricky so I got a basket.",The beekeeper showed him the entire facility.,0
66,"['determined', 'competent', 'tired']","{'joy': 1, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",She got all the ingredients to make it.,I was working rather diligently.,1
67,"['hopeful', 'anxious', 'healthy', 'determined']","{'joy': 1, 'trust': 2, 'fear': 2, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 3}",She planned on using the dresses size as her ideal weight loss goal.,Heather decided to spruce up her living room.,0
68,"['excited', 'happy', 'fulfilled', 'appreciated', 'Patient', 'calm', 'confident']","{'joy': 2, 'trust': 2, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}","It was the rich legacy of a lonely, frightened child who overcame.",He got to meet the police dog.,1
69,"['proud', 'amazed', 'Proud']","{'joy': 2, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",She remembered she missed a job interview.,She hit a double into midfield.,1
70,"['neglectful', 'sad']","{'joy': 0, 'trust': 0, 'fear': 2, 'surprise': 1, 'sadness': 2, 'disgust': 1, 'anger': 1, 'anticipation': 0}",But she had forgotten about it.,Bob dropped his new phone into a puddle of water.,0
71,"['excited', 'awe', 'happy', 'none']","{'joy': 1, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",I used to come to school early to run.,I went to Carlsbad Caverns with my friends.,1
72,"['disappointed', 'frustrated', 'angry', 'happy', 'sad', 'mad', 'upset', 'rebellious']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 1, 'disgust': 1, 'anger': 1, 'anticipation': 0}",The next day they were all too hungover.,She did not listen to me and wore her wings to school.,1
73,"['releved', 'relieved', 'happy']","{'joy': 2, 'trust': 2, 'fear': 0, 'surprise': 2, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",Jake decided to just take a shower instead.,Cassie was very happy.,1
74,"['annoyed', 'left out', 'excited', 'not applicable', 'content', 'no feelings', 'none']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",She was certain they were moving back and she hadn't been told.,She went to four different shops.,0
75,"['none', 'It felt better in about twenty minutes.', 'relieved', 'glad']","{'joy': 1, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",It felt better in about twenty minutes.,Her parents told her to be realistic.,0
76,"['scared', 'relieved', 'none']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",The doctor diagnosed him with myopia or nearsightedness.,The car slid to a stop.,0
77,"['Happy', 'excitement', 'joy', 'happy that the kids had a great time.', 'happy', 'relieved', 'content']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",Julian got very scared and could not sleep.,"They had a blast chasing the bubbles around, trying to pop them.",1
78,"['fun', 'excited', 'apprehensive']","{'joy': 1, 'trust': 1, 'fear': 1, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 3}",However he couldn't find the chips.,Susie just go to her new school.,1
79,"['none', 'disappointed', 'panicked', 'shocked', 'apologetic', 'left out', 'remorseful', 'sad', 'disppointed']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 2, 'disgust': 0, 'anger': 0, 'anticipation': 0}",Dave had entered a raffle at work this past weekend.,On the day of the tournament the shout-casters were sick!,1
80,['none'],"{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",We put it in the garage sometimes.,Everyone knew It would take the shot.,1
81,"['ashamed', 'embarassed', 'sad', 'none']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 1, 'disgust': 1, 'anger': 0, 'anticipation': 0}",She found her favorite brand but it was on a high shelf.,I used to think my parents weren't very smart.,1
82,"['normal', 'peaceful', 'free', 'none']","{'joy': 1, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}","Ani loved banana milkshakes, but they were thickening her waistline.",I was walking through the hiking trail.,1
83,"['Aggravated', 'trust', 'hopeful']","{'joy': 1, 'trust': 1, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 1, 'anger': 1, 'anticipation': 2}","One day, I drove him home from school when his car broke down.",He visited the guidance counselor on the first day.,1
84,"['none', 'grateful', 'excited', 'smart']","{'joy': 1, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",The sun was setting as they approached a trail heading home.,It was a great solution to his snow cone problem.,1
85,"['annoyed', 'frustrated', 'upset', 'none']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 1, 'disgust': 1, 'anger': 1, 'anticipation': 0}",I called the police and they eventually caught the killer.,When they caught me reading a book they forced me to pray all day.,1
86,"['happy', 'gleeful', 'excited']","{'joy': 3, 'trust': 2, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",Peter had to leave Africa to get medical treatment at home.,Brandon was on top of the world.,1
87,"['annoyed', 'bothered', 'worried', 'none', 'Concerned', 'Worried']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 1, 'anticipation': 1}",His mom warned him and said he would get hurt one day.,"To her shock and joy, Even accepted her offer quickly and gladly!",0
88,"['Nothing', 'helpful', 'accommodating', 'nervous', 'determined']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",The rest of the day Mitch was in a nostalgic mood.,Her hands were a bit full so she tried to balance everything.,1
89,"['excited', 'anxious', 'none']","{'joy': 2, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",Tim left the field and never went back.,"When it was over, they ran home to check out their loot.",1
90,"['none', 'energized', 'proud', 'motivated', 'energetic', 'Hopeful']","{'joy': 1, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",Tom was completely shocked.,His dad encouraged him to practice.,1
91,"['insecure', 'Kay was new to using coupons when shopping.', 'HAPPY']","{'joy': 1, 'trust': 1, 'fear': 2, 'surprise': 1, 'sadness': 1, 'disgust': 1, 'anger': 1, 'anticipation': 2}",Kay was new to using coupons when shopping.,"A man challenges a woman, while the women also challenges a man.",0
92,"['none', 'merry', 'hungry', 'festive', 'excited']","{'joy': 1, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",Mimi realized she had contracted the e coli bacteria.,Chad got out at 12 am to get the cookies.,1
93,"['happy', 'fufilled', 'charming', 'none']","{'joy': 1, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",So she decided to go.,Dan filled up by charming one of the students into sharing her pie.,1
94,"['annoyed', 'irritated', 'bothered']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 1, 'anticipation': 2}",Siri had so much fun learning and exploring a new country.,The man answered the louder knock.,1
95,"['hopeful', 'positive', 'satisfied', 'none', 'His friends listened to Jimi Hendrix', 'enjoyment', 'continentment', 'surprised']","{'joy': 1, 'trust': 1, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",His friends listened to Jimi Hendrix.,"So Ned, although a homebody, asked his mom if he could go too.",0
96,"['I was on vacation in Florida.', 'happy', 'HAPPY', 'none']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",The farmer there gave me a nice tour.,Dan recently decided to take his house off the grid.,0
97,"['angry', 'dissappointed', 'frustrated', 'annoyed', 'sad', 'un happy and  succor']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 2, 'sadness': 2, 'disgust': 1, 'anger': 2, 'anticipation': 0}",Kay was upset since the coupons would have saved her $5.,Marcus loved to play video games with all of his friends.,0
98,"['none', 'apprehensive', 'WORRIED', 'upset']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 0, 'sadness': 1, 'disgust': 0, 'anger': 0, 'anticipation': 0}",She ran home to put it into the freezer.,I was very hot sitting outside.,0
99,"['anxious', 'scared']","{'joy': 0, 'trust': 0, 'fear': 3, 'surprise': 1, 'sadness': 2, 'disgust': 1, 'anger': 1, 'anticipation': 2}",Josh began to worry he wouldn't have time to date again.,She was beginning to worry.,1
100,"['agitated', 'sad', 'annoyed', 'awkward']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 0, 'sadness': 2, 'disgust': 2, 'anger': 2, 'anticipation': 0}",They learned a lot about nature.,She ended up whining on the floor.,1
101,"['in love', 'proud', 'happy', 'nervous', 'loving', 'pleasure', 'loved']","{'joy': 2, 'trust': 2, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}","Mango obliged, and began his routine.",Spencer and Perry had a son together.,1
102,"['none', 'upset', 'sad']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 1, 'disgust': 0, 'anger': 0, 'anticipation': 0}",Sally even noticed they were gone.,He'd take too many medicines to ease the pain.,0
103,"['pain', 'painful', 'failure']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 2, 'sadness': 1, 'disgust': 1, 'anger': 1, 'anticipation': 0}",Jeff broke his ribs playing rugby.,Rick and Pat went on a road trip for a month.,0
