,emotion,plutchik,selection0,selection1,label
28,"['sad', 'regretful', 'pain', 'embarrassment', 'fear']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 1, 'sadness': 2, 'disgust': 1, 'anger': 1, 'anticipation': 0}",Zach decided to try to fix it by himself.,The tree fell on Fred and he broke his arm.,1
29,"['content', 'contented']","{'joy': 3, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}","Instead, they found a McDonalds.",Jelly liked wine.,1
30,"['determined', 'confident', 'trusting', 'excited', 'supportive', 'passionate']","{'joy': 1, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",Her science teacher encouraged her to compete in the science fair.,He was good enough to get a scholarship for college.,0
31,"['eager', 'proud', 'excitement', 'joy', 'happy']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",Bob took his daughter Anna sledding for the first time.,Everyone enjoyed looking at the sea creatures.,0
32,"['worried', 'sick', 'unwell']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 1, 'disgust': 1, 'anger': 0, 'anticipation': 0}",My wife developed a cough this week.,He happily got pineapple on the pizza.,0
33,"['afraid', 'upset']","{'joy': 0, 'trust': 0, 'fear': 2, 'surprise': 2, 'sadness': 1, 'disgust': 1, 'anger': 1, 'anticipation': 1}",My mom lost last year.,The car slid to a stop.,1
34,"['calm', 'content']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",Keith was working at a mechanic shop.,His favorite taco truck had started to park near his place of work.,0
35,"['happy', 'excited', 'ecstatic', 'joyous', 'thrilled']","{'joy': 3, 'trust': 1, 'fear': 0, 'surprise': 2, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",She turned out to be - finally - pregnant!,Heather was on a trip through Texas and stayed at a hotel.,0
36,"['scared', 'worried', 'positive', 'sad']","{'joy': 1, 'trust': 0, 'fear': 1, 'surprise': 0, 'sadness': 2, 'disgust': 0, 'anger': 1, 'anticipation': 1}",Stanley wondered if he would ever get out of prison.,I found of bunch of recipes to try out.,0
37,"['anticipation', 'free', 'content']","{'joy': 2, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",He called for his dad.,Bill liked to ride his bike outside in the sun.,1
38,"['happy', 'proud', 'interested', 'learned', 'friendly']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",He introduced a terrible open world PvP zone.,Our neighbor Tracy has a boy and a girl in elementary school.,1
39,"['emasculated', 'guilty', 'embarrassed', 'angry', 'annoyed', 'frustrated']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 1, 'disgust': 2, 'anger': 1, 'anticipation': 0}",She did not study.,His wife lectured him thoroughly.,1
40,"['happy', 'lucky', 'disappointed', 'regret', 'upset']","{'joy': 1, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 1, 'disgust': 1, 'anger': 1, 'anticipation': 0}",Luckily my friend mad a mistake and I won game three and the series.,Billy got a new dog for his birthday.,0
41,"['enthusiastic', 'happy', 'great']","{'joy': 2, 'trust': 2, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",Luckily the hole in the wall was easily repaired.,Brock loves cars.,1
42,"['happy', 'irritated', 'inquiring']","{'joy': 1, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 1, 'anticipation': 1}",Kim and her glass went on a field trip to an aquarium.,"Rita told him that he just likes the caffeine, not the coffee.",1
43,"['ashamed', 'bad', 'scared']","{'joy': 0, 'trust': 0, 'fear': 2, 'surprise': 2, 'sadness': 2, 'disgust': 0, 'anger': 0, 'anticipation': 0}",The vet told Jerry that the food the cat was eating wasn't good.,The floor was very dirty.,0
44,"['happy', 'clever']","{'joy': 2, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",I have nicknamed it 'Moody'.,Now we use up all of the bananas.,0
45,"['excited', 'hopeful', 'unique']","{'joy': 2, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",He looked for his Spiderman bowl but couldn't' find it.,Veronica wanted something very unique.,1
46,"['disappointed', 'surprised']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 3, 'sadness': 2, 'disgust': 2, 'anger': 0, 'anticipation': 0}","By time they came in, the shakes were almost melted.",I was worried that my financial situation would ruin the night.,0
47,"['ashamed', 'childish', 'embarrassed']","{'joy': 0, 'trust': 0, 'fear': 2, 'surprise': 0, 'sadness': 1, 'disgust': 2, 'anger': 0, 'anticipation': 0}",Mike was a 28 year old man who wore diapers.,He surrounded it with brick.,0
48,"['sad', 'heartbroken', 'worried', 'hard']","{'joy': 0, 'trust': 0, 'fear': 2, 'surprise': 2, 'sadness': 3, 'disgust': 1, 'anger': 2, 'anticipation': 3}",One day it went missing.,Luckily they supported him.,0
49,"['happy', 'excited']","{'joy': 3, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 3}","Though she missed her salary, Milly knew what was truly important.",Jon woke up excited.,1
50,"['anxious', 'calm']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 1, 'anticipation': 0}",Paul is a very creative and artistic person.,They wanted forty thousand dollars for a Sentra.,1
51,"['irritated', 'perturbed', 'disgusted', 'annoyed', 'concerned']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 1, 'disgust': 2, 'anger': 1, 'anticipation': 1}",One of the kids kept eating glue.,A man desired to be smart.,0
52,"['competent', 'surprised', 'anticipation']","{'joy': 2, 'trust': 2, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}","When Nancy received her exam, she panicked.",She opened the box mix.,1
53,"['surprised', 'worried', 'confused']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 1, 'sadness': 1, 'disgust': 0, 'anger': 0, 'anticipation': 1}",I didn't know what else I could do.,The one she wanted was too expensive.,0
54,"['hesitant', 'sad', 'cautious', 'helpful', 'hopeful']","{'joy': 0, 'trust': 1, 'fear': 1, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",Her mom encouraged her to go anyways.,She dug through her freezer but had no ideas.,0
55,"['guilty', 'enchanted', 'confused', 'happy', 'neglected', 'sorry']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 1, 'sadness': 1, 'disgust': 0, 'anger': 0, 'anticipation': 1}",The kite was ruined.,"He called Anne and apologized, adding he'd met someone else.",1
56,"['proud', 'happy', 'excited']","{'joy': 3, 'trust': 0, 'fear': 0, 'surprise': 2, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",My grandfather taught me karate.,Jerome enjoyed watching his favorite movies on his new television.,1
57,"['sadness', 'upset', 'devastated']","{'joy': 0, 'trust': 0, 'fear': 2, 'surprise': 1, 'sadness': 2, 'disgust': 2, 'anger': 2, 'anticipation': 0}",Shana bought a new car and wrecked it on her way home from the dealer.,He gave her $1000 so she can catch up on her bills.,0
58,"['happy', 'positive', 'fear', 'anxious', 'satisfied', 'accomplished', 'proud', 'content']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",He bought a turkey and put it in his backyard.,I managed to get a job.,0
59,"['happy', 'accomplished']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",And he ended up earning decent money.,Bill quickly hopped out and got his spare from the trunk.,0
60,"['determined', 'confused', 'perplexed']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",Bonnie couldn't figure out what her sister was doing.,I am the fifth student to read and i can't read that much.,0
61,"['annoyed', 'out', 'frustrated']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 2, 'sadness': 0, 'disgust': 1, 'anger': 2, 'anticipation': 0}","All of a sudden, she couldn't control the cursor.",John was promised a trip to Six Flags if he passed his final exam.,0
62,"['curious', 'grateful', 'happy', 'excited', 'thankful']","{'joy': 3, 'trust': 2, 'fear': 0, 'surprise': 2, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",Her phone was held in front of her face.,They found the perfect dress.,1
63,"['unhappy', 'sad', 'moody', 'preoccupied']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 1, 'disgust': 0, 'anger': 1, 'anticipation': 0}",Brian was jealous.,Bill and Monica took a trip to France.,0
64,"['relieved', 'content', 'satisfied']","{'joy': 0, 'trust': 1, 'fear': 1, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}","It was much dimmer, but Jane accepted it.",Andy recently felt he needed a walking companion.,0
65,"['embarrassed', 'determined', 'guilty', 'angry', 'disappointed']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 0, 'sadness': 1, 'disgust': 1, 'anger': 1, 'anticipation': 1}",He worked hard there for three months.,Bea forgot to water the fern for a whole week.,1
66,"['amused', 'happy', 'surprised', 'excited', 'joyful', 'curious', 'trusting', 'lucky']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}","When Barry came in the fort, the bird sat on his shoulder.",Unfortunately the people behind him didn't notice.,0
67,"['irritated', 'justified', 'determined']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",Until that night when she strung her shells into a necklace.,She decided she'd have to bite the bullet and clean it.,1
68,['accomplished'],"{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",When there were 350 apples on the ground he was finished.,Jim was headed south.,0
69,"['sad', 'Tamil', 'rushed']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 2, 'disgust': 0, 'anger': 0, 'anticipation': 0}",Now recess was coming to an end.,The snow had melted and the sun was shining very brightly.,0
70,"['annoyed', 'sad', 'anger']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 2, 'sadness': 1, 'disgust': 1, 'anger': 2, 'anticipation': 1}",He checked the radiator and noticed it was low on coolant.,"He called me up and asked to come over, but I couldn't.",0
71,"['embarrassed', 'ashamed', 'spiteful', 'hurt', 'annoyed']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 1, 'sadness': 2, 'disgust': 1, 'anger': 2, 'anticipation': 0}","Doug stormed off, embarrassed.",Last night I tried cramming for a test.,0
72,"['anticipation', 'intelligent', 'particular', 'focused']","{'joy': 0, 'trust': 1, 'fear': 1, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",She wanted the school to be the perfect fit for her.,A customer asked him to stop by her restaurant.,0
73,"['abandoned', 'scared', 'worry', 'terrified']","{'joy': 0, 'trust': 0, 'fear': 3, 'surprise': 1, 'sadness': 2, 'disgust': 0, 'anger': 0, 'anticipation': 2}","Lee and her mom went to the mall, but Lee got lost!",Julian was afraid of storms.,0
74,"['hopeful', 'sad']","{'joy': 1, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 1, 'disgust': 1, 'anger': 1, 'anticipation': 3}",I thought I might have a chance in the late quarters.,He realized she would be manic at times and depressed at others.,0
75,"['bummed', 'satisfied', 'surprised']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 1, 'disgust': 0, 'anger': 0, 'anticipation': 0}",Alicia and the tattoo artist worked together to create a good design.,He bought some from the store.,1
76,"['upset', 'confused', 'outraged']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 1, 'anticipation': 2}",I was on a tour inside the forest with Maddie.,She didn't know where they went.,1
77,"['sad', 'upset', 'frustration']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 2, 'sadness': 1, 'disgust': 1, 'anger': 2, 'anticipation': 0}",Even her attempt at a ponytail didn't work out.,We watched a movie about Pee Wee to reminisce.,0
78,"['relaxed', 'free']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",At the park he sees many people.,Larry was camping one day.,1
79,"['incompetent', 'foolish', 'frustrated']","{'joy': 0, 'trust': 0, 'fear': 2, 'surprise': 2, 'sadness': 1, 'disgust': 2, 'anger': 2, 'anticipation': 0}","As they reached the checkout, Dan's daughter was asking for candy.",Charlie didn't fix it properly.,1
80,"['proud', 'hopeful', 'intrigued', 'excited', 'joy', 'competitive']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",After she ate she went home to nap.,Jeff was approached by his teacher to join a math tournament.,1
81,"['content', 'warmer', 'comfortable']","{'joy': 2, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",Then she curled up under it.,My mom took me to the store to buy new ones.,0
82,"['happy', 'accomplished', 'proud', 'overjoyed', 'successful']","{'joy': 3, 'trust': 1, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",My son offered to swim to the store for eggs.,His team won because of this.,1
83,"['happy', 'surprised', 'relieved', 'trust', 'appreciated', 'joyful', 'lucky']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",His mom said he needed to wear them.,The police thanked her for her honesty by giving her a reward.,1
84,"['anxious', 'disappointment', 'hurt', 'sad', 'disappointed']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 2, 'sadness': 2, 'disgust': 0, 'anger': 2, 'anticipation': 1}","Unfortunately,they fell during practice and Frank broke his ankle.",He heads to the bar to feel better.,0
85,['upset'],"{'joy': 0, 'trust': 0, 'fear': 2, 'surprise': 0, 'sadness': 3, 'disgust': 2, 'anger': 2, 'anticipation': 0}",Deb was worried she wasn't going to have enough money.,Her classmates thought she was even prettier with her new glasses!,0
86,"['relieved', 'vindicated', 'confused']","{'joy': 0, 'trust': 1, 'fear': 1, 'surprise': 3, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",I decided to check the tire pressure and one was way low.,"One day, his singing was annoying his teacher.",0
87,"['cheerful', 'indecisive', 'undecided', 'annoyed', 'aggravated', 'upset', 'angry']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 1, 'anticipation': 1}",The system allowed people to play games together online.,She kept changing the station.,1
88,"['happy', 'sad', 'content', 'surprised']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",She puts on her running shoes and jogs around the block.,It broke the boredom at her grandparents house.,1
89,"['anger', 'confused', 'emotional', 'worrisome']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 1, 'sadness': 2, 'disgust': 1, 'anger': 2, 'anticipation': 0}",She sounded upset but agreed to do so.,"They had arguments, but lately they'd been fighting.",1
90,"['loved', 'fulfilled', 'prude', 'loving', 'happy', 'proud', 'justified']","{'joy': 2, 'trust': 2, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",They married and only then did they share physical intimacy.,Dave switched to decaf coffee.,0
91,"['happy', 'satisfied', 'dedicated', 'joy', 'motivated']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",She practiced every week.,I had not seen several emails because gmail put them into spam.,0
92,"['joyful', 'happy']","{'joy': 3, 'trust': 1, 'fear': 0, 'surprise': 1, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",Eventually I won,His dad had been very strict about him knowing all the rules.,0
93,"['embarrassed', 'ashamed', 'worried', 'happy', 'excited', 'tired', 'painful', 'annoyed', 'disgusted']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 1, 'anger': 0, 'anticipation': 1}",Jake passed out when the doctor asked him to cut the cord.,He is taken to the hospital.,0
94,"['happy', 'excited', 'anticipation']","{'joy': 2, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",Anna was disappointed.,We chose several for him to purchase that were on sale.,1
95,"['sad', 'lonely', 'bored']","{'joy': 0, 'trust': 0, 'fear': 0, 'surprise': 0, 'sadness': 2, 'disgust': 0, 'anger': 0, 'anticipation': 0}",Camden fell off and split his head open.,"All of them said working, so I just sighed and said okay.",1
96,"['sadness', 'guilty', 'scared', 'nervous', 'terrified']","{'joy': 0, 'trust': 0, 'fear': 3, 'surprise': 1, 'sadness': 2, 'disgust': 0, 'anger': 0, 'anticipation': 1}",When he picked it up he realized it had shattered into pieces.,His friends realized too late that the cord wasn't attached right.,1
97,"['important', 'helpful', 'knowledgeable', 'diligent', 'motivated', 'proud']","{'joy': 1, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",He worked very hard and listened to his instructor.,I grabbed the scooter and rode down the street.,0
98,"['embarrassed', 'relieved', 'dumb']","{'joy': 1, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 1, 'disgust': 1, 'anger': 0, 'anticipation': 0}",She was about to walk across a puddle but decided to go through it.,He'd put up a special page with items he had for sale.,1
99,"['furious', 'angry', 'guilty', 'scared', 'sorry']","{'joy': 0, 'trust': 0, 'fear': 1, 'surprise': 2, 'sadness': 1, 'disgust': 1, 'anger': 2, 'anticipation': 0}",Zach walked into the store.,His parents were furious.,1
100,"['positive', 'mad', 'sad', 'happy']","{'joy': 1, 'trust': 1, 'fear': 0, 'surprise': 1, 'sadness': 1, 'disgust': 1, 'anger': 1, 'anticipation': 1}",Kelly was getting mad at Eliza because she thought she was annoying.,Miguel was very excited.,0
101,"['bored', 'awake', 'content', 'fine', 'old']","{'joy': 0, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",She explains to her roommate Jack that her date assaulted her.,Her grandma didn't have cable and nothing was on.,1
102,"['diligent', 'determined']","{'joy': 1, 'trust': 2, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 1}",Jay worked hard and listened well.,Currently I can only run about three.,0
103,"['anxious', 'hopeful']","{'joy': 1, 'trust': 1, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 2}",She read that the inside of a banana peel helps stop the itch.,"He tried to help them, but they told him that he couldn't get a pizza.",0
104,"['grateful', 'thankful', 'thirsty', 'stoic']","{'joy': 1, 'trust': 2, 'fear': 0, 'surprise': 0, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 0}",We watched a show about traveling in France.,"The new bus had fresh ice cold water, the family drank some quickly.",1
105,"['sad', 'scared', 'happy', 'concerned']","{'joy': 0, 'trust': 0, 'fear': 2, 'surprise': 1, 'sadness': 1, 'disgust': 0, 'anger': 0, 'anticipation': 1}",Billy noticed he had trouble reading the chalkboard in class.,I have been scratching the bite all day long since I got it.,0
106,"['excited', 'happy']","{'joy': 3, 'trust': 3, 'fear': 0, 'surprise': 3, 'sadness': 0, 'disgust': 0, 'anger': 0, 'anticipation': 3}",Tommy picked out a cute black and white puppy.,Amy was on a late night drive.,0
107,"['nervous', 'conflicted']","{'joy': 1, 'trust': 0, 'fear': 1, 'surprise': 0, 'sadness': 0, 'disgust': 1, 'anger': 0, 'anticipation': 2}",He couldn't decide which restaurant he would take his date to.,My friend called me to come hang out one time.,0
